股票,公司亮点,主营业务,收入,净利润,毛利率
家家悦,"公司亮点：立足于山东省内,以大卖场和综合超市为主体的零售渠道商",主营业务：连锁超市经营。,收入：141.27亿元同比增长1.78%+,净利润：1.88亿元同比下降12.03%+,毛利率：23.26%+
供销大集,"公司亮点：深耕""供,销""商业模式,为城乡商品流通提供优质服务",主营业务：商业运营业务、商贸物流业务、商品贸易业务。,收入：11.31亿元同比增长8.69%+,净利润：-1.11亿元同比增长70.69%+,毛利率：26.60%+
永辉超市,"公司亮点：以经营生鲜为特色,以卖场、社区超市为核心业态的商业零售龙头","主营业务：以经营生鲜为特色,以大卖场、卖场及社区超市为核心业态、以便利",收入：545.49亿元同比下降12.14%+,净利润：-0.78亿元同比下降248.91%+,毛利率：20.84%+
武商集团,公司亮点：湖北省最大的综合性商业零售及批发企业,主营业务：从事购物中心及超市业态的商品销售业务。,收入：67.04亿元同比下降6.6%+,净利润：2.16亿元同比增长3.31%+,毛利率：49.06%+
爱婴室,"公司亮点：国内首家自建仓储物流中心的母婴连锁企业,为孕前至6岁婴幼儿家",主营业务：全品类母婴用品的生产、销售和服务。,收入：34.67亿元同比增长4.06%+,净利润：1.06亿元同比增长1.61%+,毛利率：26.86%+
妙可蓝多,公司亮点：国内少数同时掌握原制奶酪和再制奶酪生产技术的企业,"主营业务：以奶酪为核心的特色乳制品的研发、生产和销售,也从事液态奶的研",收入：48.44亿元同比下降8.99%+,净利润：1.14亿元同比增长89.16%+,毛利率：28.29%+
若羽臣,公司亮点：全球优质快消品品牌的电子商务综合服务商,"主营业务：品牌管理、自有品牌及代运营业务,从全局视角出发,以前瞻性的品",收入：11.54亿元同比增长39.25%+,净利润：0.58亿元同比增长71.08%+,毛利率：46.50%+
中百集团,"公司亮点：武汉国资委旗下的湖北商超龙头,永辉超市为公司第三大股东",主营业务：商业零售。,收入：81.30亿元同比下降11.5%+,净利润：-3.32亿元同比下降309.35%+,毛利率：21.64%+
一鸣食品,公司亮点：农业产业化国家重点龙头企业,主营业务：新鲜乳品与烘焙食品的研发、生产、销售及连锁经营业务。,收入：20.58亿元同比增长5.39%+,净利润：0.37亿元同比增长4.13%+,毛利率：29.58%+
三全食品,公司亮点：国内速冻食品行业的龙头,主营业务：速冻和冷藏面米制品、速冻和冷藏调制食品等多种食品的研发、制造,收入：51.25亿元同比下降5.35%+,净利润：3.94亿元同比下降28.61%+,毛利率：25.03%+
劲仔食品,"公司亮点：鱼类零食龙头企业,拥有主打产品""劲仔“深海小鱼,休闲豆制品行业",主营业务：中式风味休闲零食研发、生产与销售。,收入：24.12亿元同比增长16.79%+,净利润：2.91亿元同比增长39.01%+,毛利率：30.47%+
大湖股份,公司亮点：全国最大的以淡水鱼养殖为主营业务的上市公司,主营业务：健康产品的生产与销售业务;康复、护理为主的健康医疗服务业务。,收入：10.44亿元同比下降12.48%+,净利润：-0.77亿元同比下降843.18%+,毛利率：23.07%+
广弘控股,公司亮点：肉类食品供应为主和教育出版物发行为辅的优质企业,主营业务：食品板块冷冻食品储藏供应业务和农牧板块畜禽养殖业务。,收入：18.82亿元同比下降8.77%+,净利润：0.85亿元同比下降46.05%+,毛利率：4.27%+
甘源食品,公司亮点：国内领先的豆类休闲食品品牌,主营业务：休闲食品的研发、生产和销售。,收入：16.06亿元同比增长22.23%+,净利润：2.77亿元同比增长29.48%+,毛利率：35.59%+
合百集团,公司亮点：安徽省唯一的商业上市公司,主营业务：零售业、农产品交易市场两大类业务。,收入：53.28亿元同比增长3.88%+,净利润：2.09亿元同比下降20.36%+,毛利率：27.03%+
好想你,公司亮点：中国红枣龙头企业,主营业务：红枣和健康锁鲜食品的研发、生产、销售。,收入：11.77亿元同比增长7.9%+,净利润：-0.61亿元同比下降48.66%+,毛利率：24.26%+
光明乳业,"公司亮点：国内排名第三的乳制品企业,市场重点在华东,主打新鲜乳品","主营业务：各类乳制品的开发、生产和销售,奶牛的饲养、培育,物流配送等业",收入：184.13亿元同比下降10.89%+,净利润：1.16亿元同比下降63.94%+,毛利率：19.28%+
大东方,"公司亮点：大东方百货、""东方汽车""、""中华老字号三凤桥食品""拥有品牌优势",主营业务：百货零售、三凤桥品牌经营、医疗健康业务。,收入：27.62亿元同比增长2.87%+,净利润：1.01亿元同比下降23.08%+,毛利率：14.93%+
欧亚集团,"公司亮点：吉林省的商业龙头企业之一,长春地区效益最好的百货门店之一",主营业务：商业零售、物业租赁、租赁服务、旅游餐饮业务。,收入：54.75亿元同比增长0.07%+,净利润：0.18亿元同比增长5.43%+,毛利率：36.62%+
祖名股份,公司亮点：豆制品国家标准和国际标准的主要起草单位之一,主营业务：豆制品的研发、生产和销售。,收入：12.05亿元同比增长13.46%+,净利润：-0.12亿元同比下降136.42%+,毛利率：23.70%+
银座股份,公司亮点：零售门店达46家,主营业务：商品的批发与零售业务。,收入：54.19亿元同比下降2.17%+,净利润：0.68亿元同比下降68.77%+,毛利率：41.87%+
三江购物,"公司亮点：第二大股东为阿里巴巴泽泰,致力于打造互联网时代新零售的社区生",主营业务：社区生鲜超市业务。,收入：29.71亿元同比增长0.12%+,净利润：1.21亿元同比增长15.83%+,毛利率：26.73%+
来伊份,公司亮点：国内销售规模、拥有门店数量领先的休闲食品连锁经营企业之一,主营业务：自主品牌的休闲食品连锁经营,收入：25.23亿元同比下降15.96%+,净利润：-0.43亿元同比下降1038.26%+,毛利率：40.74%+
利群股份,公司亮点：以商业物流、商业零售为主业的大型商业集团,主营业务：零售连锁经营、物流供应链及食品工业。,收入：56.38亿元同比下降5.27%+,净利润：0.26亿元同比下降8.27%+,毛利率：32.27%+
浙江东日,公司亮点：拥有全国最早建成的专业灯具市场之一,主营业务：农副产品批发交易市场业务、生鲜食材配送业务(配菜业务)和豆制,收入：7.23亿元同比下降18.44%+,净利润：1.35亿元同比下降34.94%+,毛利率：38.76%+
金字火腿,"公司亮点：金华火腿行业龙头企业,旗下食品城是浙江冷冻食品的集散中心",主营业务：特色纯肉制品的生产、制作和销售。,收入：3.44亿元同比增长9.62%+,净利润：0.62亿元同比增长55.19%+,毛利率：22.05%+
煌上煌,公司亮点：专注于酱卤肉制品及佐餐凉菜快捷消费食品的开发、生产和销售,主营业务：酱卤肉制品、米制品及少量佐餐凉菜等其他产品的开发、生产和销售,收入：14.52亿元同比下降8.11%+,净利润：0.79亿元同比下降22.12%+,毛利率：33.64%+
