股票,公司亮点,主营业务,收入,净利润,毛利率
亚盛集团,公司亮点：我国当前最大规模的农艺种植基地,主营业务：农作物种植、农产品加工、农业技术研发、农资服务、商贸流通,收入：22.10亿元同比下降0.51%+,净利润：0.36亿元同比下降22.09%+,毛利率：18.26%+
维维股份,公司亮点：中国豆奶行业的开创者,主营业务：从事豆奶粉、植物蛋白饮料(液态豆奶)、乳品、茶叶等系列产品的,收入：26.89亿元同比下降19.09%+,净利润：2.46亿元同比增长83.74%+,毛利率：23.48%+
敦煌种业,"公司亮点：产品包括种子、果蔬、食品、棉花,国家重点扶持的的产业",主营业务：各类农作物种子的研发、生产、加工、销售和脱水菜、番茄粉、番茄,收入：11.56亿元同比下降0.16%+,净利润：0.50亿元同比增长22.26%+,毛利率：32.19%+
丰乐种业,"公司亮点：安徽省种业领先企业,拥有先进的工厂化的商业化研发体系",主营业务：种子、农化和香料产业。,收入：29.26亿元同比下降6.03%+,净利润：0.70亿元同比增长73.67%+,毛利率：15.74%+
嘉华股份,公司亮点：国内知名的大豆深加工企业,主营业务：大豆蛋白及相关副产品的研发、生产及销售。,收入：11.06亿元同比下降11.93%+,净利润：0.76亿元同比下降10.91%+,毛利率：12.30%+
万向德农,"公司亮点：拥有当前推广面积最大的玉米品种""郑单958""的品种经营权",主营业务：玉米杂交种子研发、生产、销售。,收入：2.77亿元同比增长23.49%+,净利润：0.52亿元同比增长0.87%+,毛利率：26.61%+
苏垦农发,公司亮点：以自主经营种植基地为核心资源优势的国有大型农业企业,"主营业务：通过自主经营种植基地,从事稻麦等作物原粮(含商品粮和种子原粮",收入：109.61亿元同比下降9.92%+,净利润：7.29亿元同比下降10.75%+,毛利率：未公布+
莲花控股,公司亮点：我国最大的味精和谷肮粉生产与出口基地,主营业务：食品与调味品的研发、生产与销售。,收入：26.59亿元同比增长26.55%+,净利润：2.07亿元同比增长59.12%+,毛利率：未公布+
北大荒,公司亮点：以种植水稻、玉米、大豆为主的大型农业集团,主营业务：耕地发包经营;谷物、豆类、油料等作物的种植及销售;农业技术开,收入：53.39亿元同比增长5.83%+,净利润：10.87亿元同比增长2.21%+,毛利率：34.59%+
登海种业,公司亮点：国内玉米种子繁育推广一体化龙头企业,主营业务：农作物新品种选育、许可证规定经营范围内的农作物种子生产、分装,收入：5.78亿元同比下降11.55%+,净利润：0.59亿元同比下降38.57%+,毛利率：27.31%+
大北农,公司亮点：国内最早从事畜禽、水产及牛羊预混饲料的企业之一,主营业务：饲料科技产业和养猪科技产业。,收入：201.42亿元同比下降15.83%+,净利润：1.33亿元同比增长114.69%+,毛利率：14.09%+
农发种业,"公司亮点：主营种子、化肥、农药等农资产品的生产与销售,综合实力行业前列","主营业务：农作物种子的研发、生产和销售,农药的生产销售,化肥贸易以及订",收入：30.22亿元同比下降30.56%+,净利润：0.55亿元同比下降44.82%+,毛利率：8.14%+
隆平高科,公司亮点：研制、生产及销售农作物种子的农业产业化龙头企业,主营业务：杂交水稻、玉米和小麦三大主粮作物种业板块。,收入：28.81亿元同比下降14.46%+,净利润：-4.75亿元同比增长17.82%+,毛利率：28.24%+
京粮控股,"公司亮点：北京国资委旗下,主营植物油加工及食品制造业务,拥有古币、古船",主营业务：油脂油料加工、油脂油料贸易及食品加工。,收入：114.35亿元同比下降3.92%+,净利润：None,毛利率：4.55%+
金健米业,公司亮点：中国粮食第一股,主营业务：水稻、小麦、食用油料、大豆、玉米等粮食作物的精深加工、销售及,收入：46.27亿元同比下降12.19%+,净利润：0.02亿元同比下降83.94%+,毛利率：5.75%+
深粮控股,公司亮点：深圳国资委控股的粮食供应链优质服务商,主营业务：批发零售业务、食品加工制造业务、租赁及商务服务业务。,收入：38.02亿元同比下降15.12%+,净利润：2.45亿元同比下降10.82%+,毛利率：17.45%+
中粮科技,公司亮点：以燃料乙醇、淀粉、柠檬酸为主导产品的农产品深加工企业,主营业务：燃料乙醇、食用酒精、淀粉、淀粉糖、柠檬酸、味精及其副产品的生,收入：151.24亿元同比增长2.74%+,净利润：0.10亿元同比增长102.89%+,毛利率：7.44%+
万方发展,"公司亮点：白山江源财政局旗下,主营粮食加工与销售,通过子公司铸鼎工大开",主营业务：军工业务、农业业务以及生物健康等业务。,收入：1.09亿元同比增长7.51%+,净利润：-0.88元+总股本:3.11亿,毛利率：10.19%+
