股票,公司亮点,主营业务,收入,净利润,毛利率
兆威机电,"公司亮点：国内少有、全球领先的微型传动系统制造商,曾获颁国家科学进步奖",主营业务：微型传动系统、微型驱动系统的研发、生产和销售业务。,收入：10.57亿元同比增长29.99%+,净利润：4.15元+总股本:2.40亿股,毛利率：31.55%+
中大力德,公司亮点：较早进入减速器和减速电机行业,主营业务：机械传动与控制应用领域关键零部件的研发、制造、销售和服务。,收入：7.42亿元同比下降9.79%+,净利润：0.57亿元同比下降0.68%+,毛利率：24.86%+
科沃斯,公司亮点：国内领先的家庭服务机器人和清洁类小家电制造商,主营业务：各类家庭服务机器人、包括清洁类电器在内的智能生活电器相关设备,收入：102.26亿元同比下降2.9%+,净利润：6.15亿元同比增长1.88%+,毛利率：48.39%+
雷赛智能,公司亮点：智能装备运动控制领域的知名品牌和行业领军企业,主营业务：智能装备运动控制核心部件的研发、生产、销售与服务。,收入：11.55亿元同比增长9.62%+,净利润：1.44亿元同比增长56.36%+,毛利率：38.64%+
众辰科技,"公司亮点：国家级专精特新""小巨人"",主营低压变频器",主营业务：低压变频器和伺服系统的研发、生产和销售。,收入：4.94亿元同比增长5.42%+,净利润：1.61亿元同比增长7.78%+,毛利率：41.22%+
派斯林,公司亮点：主营工业自动化设备,主营业务：工业自动化系统集成业务。,收入：14.38亿元同比下降2.62%+,净利润：0.86亿元同比下降27.99%+,毛利率：16.40%+
鸣志电器,"公司亮点：混合式步进电机全球市占率超10%,位列全球第四,打破了日企垄断",主营业务：运动控制领域和智能电源领域核心技术及系统级解决方案的研发和经,收入：18.30亿元同比下降4.51%+,净利润：0.47亿元同比下降43.69%+,毛利率：37.65%+
卧龙电驱,公司亮点：全球主要的电机与驱动专业制造商,主营业务：电机及控制、光伏与储能、工业互联网等。,收入：121.94亿元同比增长1.06%+,净利润：6.38亿元同比下降30.92%+,毛利率：25.46%+
柯力传感,公司亮点：国内少数能向全球市场提供中高端应变式传感器及解决方案的供应商,主营业务：研制、生产和销售应变式传感器(其中主要为应变式称重传感器)、,收入：12.92亿元同比增长20.54%+,净利润：2.61亿元同比下降16.6%+,毛利率：未公布+
和而泰,公司亮点：国内智能控制器行业具有领导地位的龙头企业,主营业务：家庭用品智能控制器、新一代智能控制器、智能硬件的研发、生产和,收入：96.59亿元同比增长28.66%+,净利润：3.64亿元同比增长9.92%+,毛利率：未公布+
五洲新春,"公司亮点：轴承套圈定位中高端产品,稳定供应于世界排名前五位的轴承制造商",主营业务：轴承及配件、汽车零配件、五金、车床零部件的研发、生产和销售。,收入：24.73亿元同比下降1.76%+,净利润：0.98亿元同比下降19.98%+,毛利率：17.20%+
捷昌驱动,公司亮点：经营应用于智慧办公、医疗康护、智能家居领域的线性驱动系统,主营业务：线性驱动系统及设备、医疗设备零部件、功能家具及部件的生产、销,收入：25.68亿元同比增长22.2%+,净利润：2.93亿元同比增长55.6%+,毛利率：29.47%+
泰禾智能,公司亮点：智能检测分选装备和工业机器人及自动化成套装备高新技术企业,主营业务：基于AI视觉识别的成套智能化装备和服务提供商。,收入：5.64亿元同比增长10.68%+,净利润：0.21亿元同比增长89.89%+,毛利率：39.60%+
双环传动,"公司亮点：全球最大的专业齿轮散件研发制造企业,国内新能源汽车齿轮龙头供",主营业务：机械传动齿轮及其相关零部件的研发、设计与制造。,收入：67.43亿元同比增长14.83%+,净利润：7.38亿元同比增长25.21%+,毛利率：23.18%+
科瑞技术,公司亮点：主营工业自动化设备以及精密零部件制造业务,主营业务：工业自动化设备的研发、设计、生产、销售、技术服务、精密零部件,收入：17.57亿元同比下降11.17%+,净利润：3.86元+总股本:4.20亿股,毛利率：38.90%+
三花智控,公司亮点：全球最大的制冷控制元器件和全球领先的汽车空调及热管理系统控制,主营业务：制冷空调电器零部件业务和汽车零部件业务。,收入：279.47亿元同比增长13.8%+,净利润：3.12元+总股本:37.32亿股,毛利率：27.47%+
夏厦精密,公司亮点：小模数精密圆柱齿轮全球市占率前二,主营业务：研发、生产和销售小模数齿轮及相关产品。,收入：4.61亿元同比增长21.25%+,净利润：0.48亿元同比下降15.65%+,毛利率：24.15%+
拓邦股份,公司亮点：国内一流的智能控制控制器产品制造商,主营业务：电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高,收入：105.01亿元同比增长16.78%+,净利润：6.71亿元同比增长30.25%+,毛利率：22.97%+
博实股份,公司亮点：主要业务包括工业机器人、自动化成套装备及系统解决方案,"主营业务：石化化工后处理自动化成套设备的研发、生产和销售,并为客户提供",收入：21.65亿元同比增长9.2%+,净利润：4.56亿元同比增长4.98%+,毛利率：34.75%+
凯中精密,"公司亮点：主营新能源核心精密零组件,换向器产销量全球第一,博世""全球优",主营业务：核心精密零组件的研发、设计、制造及销售。,收入：23.30亿元同比增长4.15%+,净利润：1.16亿元同比增长171.72%+,毛利率：17.08%+
新时达,公司亮点：工业机器人出货量连续多年位居国产第一,主营业务：智能制造业务、工业机器人业务、运动控制业务、电气控制业务、变,收入：22.64亿元同比下降12.29%+,净利润：-0.42亿元同比下降153.51%+,毛利率：19.21%+
埃斯顿,"公司亮点：机器人运动控制系统解决方案提供商,国产机器人龙头企业之一",主营业务：从自动化核心部件及运动控制系统、工业机器人、机器人工作站到智,收入：33.67亿元同比增长4.38%+,净利润：-0.67亿元同比下降147.55%+,毛利率：29.67%+
