股票,公司亮点,主营业务,收入,净利润,毛利率
永鼎股份,公司亮点：由单一通信线缆制造商发展成了通信全产业链覆盖的业界领先企业,主营业务：光缆、电缆的生产和销售、境外工程承揽与施工、实业投资及宽带接,收入：29.73亿元同比增长0.92%+,净利润：0.57亿元同比下降34.14%+,毛利率：17.96%+
广合科技,公司亮点：中国内资企业中排名第一的服务器PCB供应商,主营业务：多高层印制电路板的研发、生产与销售。,收入：37.34亿元同比增长39.43%+,净利润：2.85元+总股本:4.25亿股,毛利率：33.38%+
崇达技术,公司亮点：以出口为主的印制线路板制造商,主营业务：印制电路板的设计、研发、生产和销售。,收入：45.74亿元同比增长6.23%+,净利润：2.62亿元同比下降34.26%+,毛利率：23.59%+
通宇通讯,公司亮点：业界少有的同时具备基站天线和滤波器集成化设计技术的公司,主营业务：通信天线及射频器件产品的研发、生产及销售。,收入：8.43亿元同比下降1.79%+,净利润：0.51亿元同比下降9.49%+,毛利率：25.39%+
剑桥科技,"公司亮点：外销为主的ICT终端设备制造商,主要客户已基本涵盖了下游全球主",主营业务：从事电信、数通和企业网络的终端设备(包括电信宽带、无线网络与,收入：36.52亿元同比增长18.31%+,净利润：1.67亿元同比增长75.42%+,毛利率：20.99%+
中京电子,公司亮点：国内少数兼具刚柔印制电路板批量生产与较强研发能力的PCB制造商,主营业务：印制电路板(PCB)的研发、生产、销售与服务。,收入：29.33亿元同比增长11.79%+,净利润：-0.82亿元同比增长39.89%+,毛利率：未公布+
铭普光磁,"公司亮点：主营磁性元器件、光通信产品、电源适配器等,下游应用场景涉及通",主营业务：磁性元器件、光通信产品、各类电源产品等研发、生产及销售。,收入：m,净利润：2:12.20/亿元园比下降10.00%,毛利率：1.30亿元园比下隆282.22%+
光迅科技,公司亮点：主要从事光通信领域内光电子器件的开发及制造,主营业务：光电子器件及子系统产品研发、生产、销售及技术服务。,收入：53.78亿元同比增长24.29%+,净利润：4.64亿元同比增长12.26%+,毛利率：23.71%+
中天科技,"公司亮点：国内光电缆品种最齐全的企业,拥有海底光缆制造的核心技术",主营业务：光纤通信和电力传输、新能源、海洋产业。,收入：343.16亿元同比增长4.78%+,净利润：23.11亿元同比下降13.12%+,毛利率：15.83%+
华工科技,"公司亮点：武汉国资委旗下,激光产业的知名高科技公司",主营业务：以激光加工技术为重要支撑的智能制造装备业务、以信息通信技术为,收入：117.09亿元同比增长13.57%+,净利润：12.21亿元同比增长21.17%+,毛利率：21.55%+
星网锐捷,公司亮点：我国企业级网络通讯系统设备及终端设备的主流厂商,主营业务：ICT基础设施与AI应用方案的研发、生产和销售。,收入：167.58亿元同比增长5.35%+,净利润：4.05亿元同比下降4.76%+,毛利率：34.07%+
亨通光电,公司亮点：国内光通信、通信电缆、电力电缆产品最齐全的综合性线缆公司,主营业务：通信网络业务、能源互联业务,收入：423.99亿元同比增长20.79%+,净利润：23.15亿元同比增长28.32%+,毛利率：15.15%+
中贝通信,"公司亮点：从事通信网络技术服务的高新技术企业,业务以通信网络建设为主","主营业务：为客户提供5G新基建、智慧城市与5G行业应用服务,同时包含光电子",收入：22.06亿元同比增长10.84%+,净利润：1.44亿元同比增长43.41%+,毛利率：20.36%+
烽火通信,公司亮点：国内光纤光缆龙头企业,主营业务：通信系统设备、光纤及线缆、数据网络等产品的生产与销售。,收入：285.03亿元同比下降8.44%+,净利润：None,毛利率：未公布+
紫光股份,"公司亮点：中国云管理平台市场保持市场份额第一,中国SDN(软件)市场占有率",主营业务：提供智能化的网络、计算、存储、云计算、安全和智能终端等全栈IC,收入：588.39亿元同比增长6.56%+,净利润：15.82亿元同比增长2.65%+,毛利率：17.59%+
景旺电子,"公司亮点：主营印制电路板,是国内少数产品类型覆盖RPCB、FPC和MPCB的厂",主营业务：从事印制电路板的研发、生产和销售。,收入：90.78亿元同比增长17.11%+,净利润：9.04亿元同比增长29.14%+,毛利率：23.77%+
生益科技,"公司亮点：全球第二大刚性覆铜板生产企业,全球市占率超过10%",主营业务：设计、生产和销售覆铜板和粘结片、印制线路板。,收入：203.88亿元同比增长22.92%+,净利润：17.39亿元同比增长49.37%+,毛利率：22.04%+
