股票,公司亮点,主营业务,收入,净利润,毛利率
湖南黄金,"公司亮点：黄金产量位居湖南省第一,锑锭及氧化锑产量位居全国第二","主营业务：黄金及锑、钨等有色金属矿山的开采、选矿,金锑钨等有色金属的冶",收入：209.89亿元同比增长11.93%+,净利润：6.67亿元同比增长73.56%+,毛利率：7.61%+
潮宏基,"公司亮点：黄金产量位居湖南省第一,锑锭及氧化锑产量位居全国第二","主营业务：黄金及锑、钨等有色金属矿山的开采、选矿,金锑钨等有色金属的冶",收入：209.89亿元同比增长11.93%+,净利润：6.67亿元同比增长73.56%+,毛利率：7.61%+
鹏欣资源,公司亮点：以铜、金、钴、铝等金属为主的领先的综合资源服务商,主营业务：金属黄金、铜、钴及其他金属矿产资源的勘探、开采、冶炼加工及相,收入：32.56亿元同比下降21.76%+,净利润：-1.17亿元同比下降169.08%+,毛利率：3.58%+
赤峰黄金,"公司亮点：主营黄金、白银、电解铜等金属,同时开展资源综合回收利用业务",主营业务：黄金的采、选及销售业务,收入：90.26亿元同比增长24.99%+,净利润：17.64亿元同比增长119.46%+,毛利率：43.84%+
山东黄金,"公司亮点：山东国资委旗下,国内唯一拥有四座累计产金突破百吨的矿企上市公",主营业务：黄金及有色金属的勘查、开采、选冶、销售。,收入：825.18亿元同比增长39.21%+,净利润：29.52亿元同比增长26.8%+,毛利率：16.50%+
中金黄金,"公司亮点：中国黄金控股且承诺优质资产注入,主营黄金、铜,黄金储量国内居",主营业务：黄金、有色金属的地质勘查、采选、冶炼的投资与管理。,收入：460.45亿元同比增长1.08%+,净利润：26.43亿元同比增长27.55%+,毛利率：15.40%+
山金国际,"公司亮点：山东国资委所属山东黄金旗下,拥有4座金矿矿山与1座铅锌银多金属",主营业务：贵金属和有色金属矿采选及金属贸易。,收入：135.85亿元同比增长67.6%+,净利润：21.73亿元同比增长52.57%+,毛利率：29.92%+
豫园股份,公司亮点：旗下拥有老庙黄金、南翔小笼等中华老字号的产业品牌资源,主营业务：珠宝时尚、文化饮食、国潮腕表、美丽健康以及复合功能地产等业务,收入：469.24亿元同比下降19.3%+,净利润：4.99元+总股本:38.94亿股,毛利率：13.60%+
菜百股份,公司亮点：公司在黄金珠宝首饰行业具有较高的市场认可度和品牌知名度,主营业务：黄金珠宝商品的原料采购、款式设计、连锁销售和品牌运营。,收入：153.45亿元同比增长24.06%+,净利润：5.54亿元同比下降6.32%+,毛利率：8.95%+
莱绅通灵,公司亮点：钻石和翡翠等珠宝首饰产品的零售业务,主营业务：珠宝首饰的品牌运营管理、产品设计研发及零售。,收入：8.82亿元同比增长55.78%+,净利润：-0.46亿元同比下降140.57%+,毛利率：36.73%+
周大生,公司亮点：国内最具规模的珠宝品牌运营商之一,"主营业务：""周大生""品牌珠宝首饰的设计、推广和连锁经营。",收入：108.09亿元同比下降13.49%+,净利润：8.55亿元同比下降21.95%+,毛利率：20.58%+
老凤祥,公司亮点：老凤祥银楼已成为国内知名的金饰品连锁零售门店之一,主营业务：黄金珠宝首饰、工艺美术品、笔类文具制品的生产经营及销售。,收入：567.93亿元同比下降20.5%+,净利润：19.50亿元同比下降11.95%+,毛利率：未公布+
四川黄金,公司亮点：四川地质局旗下的金精矿企业,主营业务：金矿矿山建设、开采、选矿及金精矿、合质金的销售。,收入：5.28亿元同比增长5.77%+,净利润：1.97亿元同比增长25.38%+,毛利率：53.44%+
中国黄金,公司亮点：我国黄金珠宝销售领域知名的中央企业,主营业务：黄金珠宝产品的销售和委托加工。,收入：465.75亿元同比增长12.73%+,净利润：7.46亿元同比增长0.64%+,毛利率：4.20%+
中金岭南,公司亮点：完成了以铅、锌、铜、金等金属为主的全产业链布局,主营业务：铅锌铜等有色金属的采矿、选矿、冶炼和深加工。,收入：457.23亿元同比下降13.48%+,净利润：7.99亿元同比增长11.66%+,毛利率：5.89%+
恒邦股份,公司亮点：主要从事黄金矿产采选、贵金属及伴生金属冶炼,主营业务：黄金矿产资源开发、贵金属冶炼、高新材料研发及生产、国际贸易等,收入：758.01亿元同比增长15.59%+,净利润：5.37亿元同比增长4.07%+,毛利率：2.46%+
西部黄金,"公司亮点：新疆国资委旗下的黄金采选冶企业,主营黄金、锰,矿产金产量国内",主营业务：黄金的开发、冶炼。,收入：70.01亿元同比增长56.68%+,净利润：2.90亿元同比增长205.69%+,毛利率：11.42%+
紫金矿业,"公司亮点：福建上杭县财政局旗下,金、铜矿储量及产量均为全国第一,锌产量","主营业务：金、铜、锌铅、锂等矿产资源勘查与开发,清洁能源业务。",收入：3036.40亿元同比增长3.49%+,净利润：3.50元+总股本:265.78亿股,毛利率：20.37%+
