股票,公司亮点,主营业务,收入,净利润,毛利率
桂冠电力,公司亮点：水电站的生产管理处国内同行业先进水平,主营业务：投资建设、经营以电力生产、销售为主业的电力能源项目。,收入：73.54亿元同比增长20.61%+,净利润：21.64亿元同比增长90.34%+,毛利率：49.17%+
江苏新能,公司亮点：从事风能、生物质能和太阳能等项目的投资开发及建设运营,主营业务：新能源项目的投资开发及建设运营,收入：15.58亿元同比增长6.9%+,净利润：4.24亿元同比增长11.52%+,毛利率：52.02%+
赣能股份,"公司亮点：江西国资委所属江投集团旗下发电企业,下游客户主要是国网江西电",主营业务：火力、水力发电。,收入：51.06亿元同比下降5.17%+,净利润：6.39亿元同比增长56.68%+,毛利率：16.71%+
三峡能源,"公司亮点：公司在行业技术及影响力方面具有显著优势,注重陆上风电、光伏、",主营业务：风能、太阳能的开发、投资和运营。,收入：217.60亿元同比增长12.81%+,净利润：50.93亿元同比下降6.31%+,毛利率：53.47%+
中绿电,"公司亮点：国资委所属鲁能集团旗下唯一上市平台,主营风能和太阳能投资、开","主营业务：风能和太阳能投资,开发,运营。",收入：29.24亿元同比增长3.35%+,净利润：9.16亿元同比增长13.31%+,毛利率：59.23%+
大唐发电,公司亮点：中国大型独立发电公司之一,主营业务：以火电为主的发电。,收入：1234.74亿元同比增长0.86%+,净利润：45.06亿元同比增长229.7%+,毛利率：14.87%+
长源电力,公司亮点：武汉市区域内火力发电的电力生产先进企业,主营业务：电力、热力生产和经营。,收入：129.31亿元同比增长21.15%+,净利润：9.08亿元同比增长41.44%+,毛利率：13.55%+
吉电股份,"公司亮点：升级发展火电,探索发展氢能、储能等新业态",主营业务：发电(风电、太阳能、水电、火电、分布式能源、气电、生物质、核,收入：101.66亿元同比下降7.77%+每,净利润：14.13亿元同比增长30.2%+,毛利率：31.67%+
华银电力,公司亮点：火电机组装机规模在湖南处于领先位置,"主营业务：火力发电业务,同时经营水电、风电、太阳能业务以及电力销售业务",收入：61.63亿元同比下降21.79%+,净利润：0.34亿元同比增长70.52%+,毛利率：7.93%+
乐山电力,公司亮点：中国第一家电力股份制企业,主营业务：主要有电力、天然气、自来水、综合能源、宾馆等五大业务。,收入：23.23亿元同比增长5.7%+每服,净利润：0.69亿元同比下降3.98%+,毛利率：16.66%+
银星能源,"公司亮点：中国铝业公司旗下的风力发电企业,风电装机容量在宁夏区内排名前",主营业务：新能源发电和新能源装备业务。,收入：12.66亿元同比下降3.32%+,净利润：0.87亿元同比下降45.82%+,毛利率：33.47%+
西昌电力,公司亮点：西昌市综合性小水电企业,主营业务：发电、供电、电力工程设计安装。,收入：10.52亿元同比增长1.87%+,净利润：0.05亿元同比增长115.21%+,毛利率：19.38%+
明星电力,"公司亮点：拥有的遂宁市船山区、安居区供电范围内,市场占有率为100%",主营业务：电力、自来水、综合能源服务等。,收入：28.42亿元同比增长6.6%+,净利润：2.09亿元同比增长16.72%+,毛利率：11.17%+
闽东电力,"公司亮点：福建宁德国资委旗下,福建省最大的电力股份制企业",主营业务：电力生产与开发。,收入：6.03亿元同比下降59.92%+,净利润：1.69亿元同比下降27.8%+,毛利率：50.75%+
甘肃能源,公司亮点：集水电、风电、光电为一体的综合性清洁能源上市公司,主营业务：水力、火力、风力、光伏发电业务。,收入：86.95亿元同比增长24.79%+,净利润：1.17元+总股本:32.44亿股,毛利率：35.73%+
新天绿能,公司亮点：中国石油华北地区第三大分销商和河北省领先的天然气分销商之一,主营业务：新能源发电业务及天然气销售业务。,收入：213.72亿元同比增长5.38%+,净利润：16.72亿元同比下降24.24%+,毛利率：19.67%+
