股票,公司亮点,主营业务,收入,净利润,毛利率
盈方微,公司亮点：外销为主的电子元器件分销商,主营业务：电子元器件分销和集成电路芯片的研发、设计和销售。,收入：29.27亿元同比增长24.16%+,净利润：-0.37亿元同比下降3.91%+,毛利率：5.06%+
上海贝岭,"公司亮点：中国电子旗下的集成电路设计企业,国内集成电路产品主要供应商之",主营业务：集成电路、功率芯片的设计及开发。,收入：28.19亿元同比增长31.89%+,净利润：3.96亿元同比增长756.82%+,毛利率：28.22%+
中电港,"公司亮点：中国电子信息产业集团旗下,境内规模最大的电子元器件分销商",主营业务：电子元器件分销业务、设计链服务、供应链协同配套服务和产业数据,收入：379.60亿元同比增长57.65%+,净利润：1.49亿元同比增长33.45%+,毛利率：2.85%+
好上好,公司亮点：外销为主的电子元器件分销商,"主营业务：电子元器件分销,主要向消费电子、物联网、照明、工业控制、汽车",收入：53.54亿元同比增长22.27%+,净利润：0.30亿元同比下降46.96%+,毛利率：4.38%+
睿能科技,公司亮点：拥有了多项针织横机电控系统、IC产品行业领先的核心技术,主营业务：工业自动化控制产品的研发、生产、销售和IC产品分销。,收入：14.54亿元同比增长4.15%+,净利润：0.61亿元同比增长31.16%+,毛利率：24.55%+
大港股份,公司亮点：孙公司苏州科阳是少数掌握晶圆级芯片封装技术的公司之一,主营业务：集成电路和园区环保服务。,收入：2.40亿元同比下降28.53%+,净利润：0.40亿元同比下降65.55%+,毛利率：9.52%+
深康佳A,公司亮点：中国彩电行业和手机行业骨干龙头企业,"主营业务：消费电子及半导体业务,开展彩电、白电、光电显示、存储与印刷电",收入：81.20亿元同比下降45.42%+,净利润：-16.06亿元同比下降124.67%+,毛利率：6.27%+
通富微电,公司亮点：国内规模最大、产品品种最多的集成电路封装测试企业之一,"主营业务：集成电路封装测试,为全球客户提供设计仿真和封装测试一站式服务",收入：238.82亿元同比增长7.24%+,净利润：6.78亿元同比增长299.9%+,毛利率：14.84%+
德明利,公司亮点：在全球存储卡、存储盘等移动存储领域拥有一定市场份额,"主营业务：闪存主控芯片设计、研发,存储模组产品应用方案的开发、优化,以",收入：35.97亿元同比增长268.45%+每,净利润：4.22亿元同比增长479.26%+,毛利率：23.13%+
大为股份,公司亮点：国内汽车电涡缓速器龙头企业,主营业务：新能源+汽车业务以及半导体存储+智能终端业务。,收入：10.47亿元同比增长42.91%+,净利润：0.17元+总股本:2.37亿股,毛利率：3.46%+
华天科技,"公司亮点：中国大陆排名前三的半导体封装测试公司,掌握chiplet相关技术",主营业务：集成电路封装测试。,收入：144.62亿元同比增长28%+,净利润：1.78元+总股本:32.04亿,毛利率：12.07%+
康强电子,"公司亮点：国内最大塑封引线框架生产基地,国内第二大的金丝生产企业",主营业务：半导体封装材料引线框架、键合丝等半导体封装材料的生产、销售。,收入：19.65亿元同比增长10.38%+,净利润：0.83亿元同比增长3.24%+,毛利率：11.98%+
长电科技,"公司亮点：世界第三、中国大陆第一的芯片封测龙头,业务覆盖了高中低各种集",主营业务：集成电路制造和技术服务。,收入：359.60亿元同比增长21.24%+,净利润：16.10亿元同比增长9.52%+,毛利率：未公布+
兆易创新,"公司亮点：主要产品为闪存芯片,半导体存储器领域领导企业",主营业务：存储器、微控制器和传感器的研发、技术支持业务。,收入：56.50亿元同比增长28.56%+,净利润：8.32亿元同比增长91.87%+,毛利率：39.46%+
雅克科技,公司亮点：全球著名的磷酸酯阻燃剂生产企业,主营业务：电子材料、LNG保温绝热板材、阻燃剂的研发、生产与销售。,收入：49.99亿元同比增长41.15%+,净利润：7.49亿元同比增长55.8%+,毛利率：32.88%+
紫光国微,公司亮点：国内领先的智能安全芯片、特种集成电路、存储器芯片研制企业,主营业务：特种集成电路、智能安全芯片。,收入：55.11亿元同比下降27.26%+,净利润：11.91亿元同比下降52.99%+,毛利率：未公布+
兴森科技,公司亮点：国内最大专业印制电路板样板生产商,"主营业务：专注于线路板产业链,围绕PCB,半导体两大主线开展。",收入：43.51亿元同比增长9.1%+,净利润：-0.32亿元同比下降116.59%+,毛利率：15.97%+
赛腾股份,公司亮点：自动化生产设备行业领先的产品研发设计和定制化生产能力,"主营业务：智能制造装备的研发、设计、生产、销售及技术服务,为客户实现智",收入：31.94亿元同比增长21.76%+,净利润：4.75亿元同比增长18.99%+,毛利率：44.69%+
深科技,"公司亮点：国内最大的独立DRAM内存芯片封测企业,全球第二大硬盘磁头制造",主营业务：存储半导体、高端制造、计量智能终端。,收入：108.52亿元同比下降1.09%+,净利润：6.61亿元同比增长48.12%+,毛利率：16.60%+
太极实业,公司亮点：主营业务包括半导体业务、工程技术服务和光伏电站投资运营,主营业务：半导体业务、电子高科技工程技术服务业务、光伏电站投资运营业务,收入：245.81亿元同比下降6.91%+,净利润：5.13亿元同比下降11.12%+,毛利率：7.59%+
中京电子,公司亮点：国内少数兼具刚柔印制电路板批量生产与较强研发能力的PCB制造商,主营业务：印制电路板(PCB)的研发、生产、销售与服务。,收入：20.75亿元同比增长7.72%+,净利润：-0.94亿元同比增长15.28%+,毛利率：11.09%+
深南电路,"公司亮点：中国航空工业集团旗下,印制电路板行业全球前十,中国封装基板领",主营业务：印制电路板、封装基板及电子装联产品的研发、生产及销售。,收入：179.07亿元同比增长32.39%+,净利润：14.81元+总股本:5.13亿股,毛利率：24.83%+
博杰股份,公司亮点：专注于工业自动化设备与配件的研发,主营业务：专注于智能制造领域工业自动化、智能化设备及系统解决方案。,收入：8.23亿元同比增长23.03%+,净利润：0.02亿元同比增长128.43%+,毛利率：44.61%+
博敏电子,公司亮点：高端印制电路板设计和加工的国家级高新技术企业,主营业务：高精密印制电路板的研发、生产和销售。,收入：23.38亿元同比增长2.51%+,净利润：0.51亿元同比下降10.05%+,毛利率：13.10%+
北方华创,公司亮点：国内主流高端电子工艺装备供应商,主营业务：半导体基础产品的研发、生产、销售和技术服务。,收入：298.38亿元同比增长35.14%+,净利润：56.21亿元同比增长44.17%+,毛利率：未公布+
