股票,公司亮点,主营业务,收入,净利润,毛利率
跨境通,公司亮点：国内跨境电商龙头企业,主营业务：跨境出口电商业务、跨境进口电商业务。,收入：57.19亿元同比下降13.56%+,净利润：-4.79亿元同比下降4842.16%+,毛利率：11.04%+
青岛金王,"公司亮点：亚洲第一、全球排名居前的蜡烛制品生产商,A股彩妆第一股",主营业务：新材料蜡烛及工艺制品业务、化妆品业务和供应链业务。,收入：13.61亿元同比下降41.32%+,净利润：0.65亿元同比增长52.71%+,毛利率：20.95%+
永泰运,"公司亮点：为危化品企业提供一站式的在线国际物流综合服务,服务范围辐射全",主营业务：跨境化工物流供应链服务。,收入：29.83亿元同比增长88.11%+,净利润：0.90亿元同比下降36.19%+,毛利率：10.12%+
吉宏股份,"公司亮点：从事快速消费品包装领域及互联网广告业务,产品远销海外多地区",主营业务：包装业务的生产、设计和销售。,收入：55.29亿元同比下降17.41%+,净利润：1.82亿元同比下降47.28%+,毛利率：43.93%+
小商品城,"公司亮点：义乌国资委旗下,全球最大的小商品集散地,拥有支付牌照","主营业务：从事市场开发经营及配套服务,提供网上交易平台和服务,网上交易",收入：31.61亿元同比增长17.93%+,净利润：8.03亿元同比增长12.66%+,毛利率：36.18%+
焦点科技,"公司亮点：跨境电商基础设施领先企业,为国内出口型中小企业提供电子商务服",主营业务：全链路外贸服务综合平台、外贸AI应用业务、跨境电子商务业务、线,收入：16.69亿元同比增长9.32%+,净利润：4.51亿元同比增长19.09%+,毛利率：80.29%+
若羽臣,公司亮点：全球优质快消品品牌的电子商务综合服务商,"主营业务：品牌管理、自有品牌及代运营业务,从全局视角出发,以前瞻性的品",收入：11.54亿元同比增长39.25%+,净利润：0.58亿元同比增长71.08%+,毛利率：46.50%+
狮头股份,"公司亮点：转型成为电商服务提供商,涉及宠粮、美妆、食品和日化用品等领域","主营业务：为品牌方提供一站式全渠道代运营业务和经销业务,属电子商务服务",收入：3.19亿元同比下降0.25%+,净利润：-0.07亿元同比增长58.42%+,毛利率：23.50%+
华瓷股份,公司亮点：国内最大的出口日用陶瓷生产商,主营业务：日用陶瓷制品的研发、设计、生产和销售。,收入：13.40亿元同比增长8.79%+,净利润：2.05亿元同比增长14.21%+,毛利率：33.25%+
众鑫股份,"公司亮点：外销为主的餐饮具厂商,纸浆模塑餐饮具全球市占率居前",主营业务：自然降解植物纤维模塑产品、设备、模具的研发、生产、销售。,收入：11.48亿元同比增长19.4%+,净利润：2.36亿元同比增长49%+,毛利率：34.57%+
嘉欣丝绸,"公司亮点：丝绸产品的生产和销售超过三十年,行业内知名企业",主营业务：丝绸产品生产和销售。,收入：45.67亿元同比增长6.25%+,净利润：1.61亿元同比下降25.88%+,毛利率：12.40%+
欧亚集团,"公司亮点：吉林省的商业龙头企业之一,长春地区效益最好的百货门店之一",主营业务：商业零售、物业租赁、租赁服务、旅游餐饮业务。,收入：54.75亿元同比增长0.07%+,净利润：0.18亿元同比增长5.43%+,毛利率：36.62%+
金达威,"公司亮点：A股营养健康全产业链龙头,辅酶Q10全球第一、VD3全球前三、VA",主营业务：保健食品(包含保健食品原料和保健食品终端产品)和饲料添加剂的,收入：32.40亿元同比增长4.43%+,净利润：3.42亿元同比增长23.59%+,毛利率：38.52%+
嘉诚国际,公司亮点：国内领先的物流综合服务商,主营业务：为制造业客户提供定制化物流解决方案及全程供应链一体化综合物流,收入：13.46亿元同比增长9.83%+,净利润：2.05亿元同比增长24.53%+,毛利率：32.86%+
丽人丽妆,公司亮点：中国知名的线上化妆品营销零售服务商,主营业务：化妆品网络零售服务商。,收入：17.28亿元同比下降37.44%+,净利润：-0.24亿元同比下降182.64%+,毛利率：35.89%+
生意宝,公司亮点：国内最大行业电子商务运营商和领先的综合B2B运营商之一,"主营业务：互联网信息服务,电子商务,专业搜索引擎和企业应用软件开发。",收入：3.82亿元同比增长18.41%+,净利润：-0.15亿元同比下降195.62%+,毛利率：11.85%+
广博股份,公司亮点：国内纸制品文具行业龙头企业,主营业务：公司文教办公用品业务、互联网营销与服务业务、跨境电商业务。,收入：17.58亿元同比下降1.45%+,净利润：1.05亿元同比下降11.41%+,毛利率：18.00%+
浔兴股份,"公司亮点：国内规模最大、品种最多、规格最齐全的拉链制造企业,兼营跨境电",主营业务：拉链、精密模具、金属和塑料冲压铸件的研发、生产和销售。,收入：18.67亿元同比增长29.7%+,净利润：1.72亿元同比增长69.17%+,毛利率：33.97%+
东百集团,公司亮点：福建省较大的百货零售为主的企业,主营业务：商业零售和仓储物流。,收入：13.28亿元同比下降5.75%+,净利润：0.85亿元同比下降16.66%+,毛利率：57.78%+
