股票,公司亮点,主营业务,收入,净利润,毛利率
七一二,公司亮点：军用和民用专网无线通信终端及系统的核心供应商,主营业务：军民用无线通信终端及系统产品研发、生产和销售,收入：16.09亿元同比下降28.97%+,净利润：-0.27亿元同比下降108.85%+,毛利率：33.92%+
航发科技,公司亮点：民用航空发动机、燃气轮机制造领域的国际合作重要供应商,主营业务：航空发动机及燃气轮机零部件的研发、制造、销售、服务。,收入：38.50亿元同比下降14.77%+,净利润：0.69亿元同比增长42.85%+,毛利率：16.09%+
炼石航空,公司亮点：航空器相关精密零部件、结构件的制造商,主营业务：航空精密零部件、结构件的生产和销售。,收入：12.86亿元同比增长23.33%+,净利润：-2.08亿元同比增长22.46%+,毛利率：8.77%+
长城军工,"公司亮点：掌握迫击炮弹的核心技术,处于国内迫击炮弹行业的领先地位",主营业务：军品业务与民品业务。,收入：9.72亿元同比增长3.23%+,净利润：-0.76亿元同比下降913.74%+,毛利率：14.33%+
中国海防,"公司亮点：中船重工旗下,在电子防务装备领域拥有水声电子方向上国内唯一的",主营业务：电子类产品、压载水电源的研制生产以及为相关电子设备提供试验检,收入：18.72亿元同比下降3.49%+,净利润：1.49亿元同比增长21.5%+,毛利率：35.55%+
中兵红箭,"公司亮点：公司超硬材料产销量连续多年居世界第一,""红宇""牌爆破器材运输车",主营业务：特种装备、超硬材料、专用车及汽车零部件三大业务板块。,收入：27.19亿元同比下降9.6%+,净利润：-0.60亿元同比下降129.31%+,毛利率：22.55%+
建设工业,"公司亮点：兵装集团旗下,国内最大的汽车发动机连杆专业生产企业",主营业务：军品、汽车零部件和战略性新兴业务。,收入：29.26亿元同比下降7.44%+,净利润：1.83亿元同比下降4.04%+,毛利率：15.41%+
内蒙一机,"公司亮点：我国唯一的主战坦克研制基地,重要的中重型轮式装甲车科研基地",主营业务：从事轮履装甲车辆、火炮系列军品装备、铁路车辆、车辆零部件的研,收入：71.07亿元同比下降9.38%+,净利润：3.64亿元同比下降38.12%+,毛利率：11.56%+
中船防务,公司亮点：大型综合性海洋与防务装备企业集团,主营业务：集海洋防务装备、海洋运输装备、海洋开发装备和海洋科技应用装备,收入：194.02亿元同比增长20.17%+,净利润：3.77亿元同比增长684.86%+,毛利率：7.76%+
北方导航,"公司亮点：中国兵工集团旗下,掌握了制导控制系统、导航控制系统的关键核心",主营业务：军品和军民两用技术产品研发、生产和销售。,收入：7.96亿元同比下降66.8%+,净利润：-0.74亿元同比下降139.88%+,毛利率：31.24%+
振华科技,公司亮点：新型电子元器件和移动通信终端制造商,主营业务：新型电子元器件和现代服务业。,收入：37.40亿元同比下降37.97%+,净利润：6.45亿元同比下降68.69%+,毛利率：49.59%+
北摩高科,公司亮点：国内军民用航空制动领域最具竞争力的企业,主营业务：军、民两用航空航天飞行器起落架着陆系统及坦克装甲车辆、高速列,收入：4.83亿元同比下降38.24%+,净利润：0.83亿元同比下降76.1%+,毛利率：57.54%+
中天火箭,"公司亮点：国内主要从事探空火箭研制开发的企业之一,目前是国内探空火箭型",主营业务：小型固体火箭及其延伸产品的研发、生产和销售。,收入：9.25亿元同比下降21.64%+,净利润：0.20亿元同比下降79.62%+,毛利率：18.87%+
航天彩虹,"公司亮点：航天科技集团旗下公司,核心产品有:彩虹系列军用无人机",主营业务：无人机和新材料业务。,收入：25.67亿元同比下降10.45%+,净利润：0.88亿元同比下降42.54%+,毛利率：21.34%+
航天晨光,"公司亮点：重要的专用汽车科研生产基地,是军用油料特种车定点研制企业",主营业务：核工装备、智能制造、航天防务、后勤保障、环保装备、柔性管件、,收入：13.03亿元同比下降45.83%+,净利润：-1.64亿元同比下降980.54%+,毛利率：11.89%+
天箭科技,"公司亮点：致力于固态微波前端等产品研发,成都市高新技术企业",主营业务：高波段、大功率固态微波前端研发、生产和销售。,收入：1.35亿元同比下降5.93%+,净利润：0.07亿元同比下降84.11%+,毛利率：52.10%+
雷科防务,公司亮点：从事雷达系统、智能弹药、卫星应用、安全存储等的高科技企业,主营业务：雷达系统业务群、智能控制(原智能弹药)业务群、卫星应用业务群,收入：6.97亿元同比下降15.66%+,净利润：-1.34亿元同比下降251.89%+,毛利率：37.45%+
航天长峰,公司亮点：我国主要的国防信息安全产品供货商和数字医疗设备制造企业之一,"主营业务：军工电子、高端医疗装备和公共安全三大板块,主要包含国内高端产",收入：6.58亿元同比下降23.47%+,净利润：-0.99亿元同比下降34.66%+,毛利率：26.52%+
航发控制,公司亮点：发动机控制系统的研制技术和能力处于同行业领先水平,主营业务：航空发动机及燃气轮机控制系统、国际合作业务、控制系统技术衍生,收入：54.81亿元同比增长2.95%+,净利润：7.50亿元同比增长3.26%+,毛利率：28.11%+
航天电子,公司亮点：从事航天电子测控、航天电子对抗、航天制导的高科技公司,主营业务：航天电子信息、无人系统装备、电线电缆等产品的研发、生产与销售,收入：142.80亿元同比下降23.75%+,净利润：5.48亿元同比增长4.42%+,毛利率：20.99%+
